contract_id,type,field,predicted,truth,cause,reason
C41,ambiguous,material_right,UNDETERMINED,False,Agent 3,"fact + policy present, output still wrong"
C41,ambiguous,recognition_period_months,,0.0,Agent 1,subscription term not extracted
C41,ambiguous,opening_deferred,0.0,18000.0,Agent 1,subscription term not extracted
C42,ambiguous,material_right,UNDETERMINED,False,Agent 1,no renewal price/basis to judge material right
C42,ambiguous,opening_deferred,24000.0,0.0,Agent 3,"fact + policy present, output still wrong"
C42,ambiguous,monthly_revenue,2000.0,0.0,Agent 3,"fact + policy present, output still wrong"
C42,ambiguous,transaction_price,24000.0,0.0,Agent 3,"fact + policy present, output still wrong"
C43,ambiguous,material_right,UNDETERMINED,False,Agent 1,no renewal price/basis to judge material right
C43,ambiguous,num_POs,1,0.0,Agent 3,"fact + policy present, output still wrong"
C44,ambiguous,material_right,UNDETERMINED,False,Agent 1,no renewal price/basis to judge material right
C44,ambiguous,usage_model,none,undefined,Agent 2,"policy not retrieved: ['KB1_8', 'KB1_9', 'KB2_6']"
C44,ambiguous,recognition_method,UNDETERMINED,base over time; usage UNDETERMINED,Agent 3,"fact + policy present, output still wrong"
C45,ambiguous,discount_type,none,renewal_option_unclear,Agent 1,discount not extracted (has_discount=False)
C45,ambiguous,num_POs,1,0.0,Agent 3,"fact + policy present, output still wrong"
C46,combo_sub_onboard_usage,material_right,UNDETERMINED,False,Agent 1,no renewal price/basis to judge material right
C46,combo_sub_onboard_usage,usage_model,none,base_plus_overage,Agent 2,"policy not retrieved: ['KB1_10', 'KB1_8', 'KB2_4']"
C46,combo_sub_onboard_usage,onboarding_distinct,UNDETERMINED,FALSE,Agent 3,"fact + policy present, output still wrong"
C46,combo_sub_onboard_usage,recognition_method,UNDETERMINED,over_time_ratable,Agent 2,policy not retrieved: ['KB2_4']
